Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,120.980003,122.559998,120.500000,122.480003,119.014526,1235900
2019-04-24,122.739998,122.739998,120.099998,121.500000,118.062263,1235100
2019-04-25,121.139999,121.879997,120.209999,120.760002,117.343201,1142300
2019-04-26,121.360001,121.650002,120.540001,121.160004,117.731880,1126300
2019-04-29,121.169998,122.570000,120.839996,122.279999,118.820183,1618300
2019-04-30,121.879997,121.879997,119.800003,120.940002,117.518112,2259300
2019-05-01,127.260002,130.899994,125.449997,129.029999,125.379204,3795200
2019-05-02,128.820007,128.979996,125.550003,125.769997,122.211433,1803600
2019-05-03,126.790001,131.039993,126.730003,130.889999,127.186577,2134100
2019-05-06,127.320000,129.630005,127.150002,129.169998,125.515228,1224300
2019-05-07,128.039993,128.330002,125.680000,127.279999,123.678719,1309000
2019-05-08,126.800003,128.520004,126.330002,127.320000,123.717583,1065700
2019-05-09,126.150002,127.839996,125.010002,127.330002,123.727303,1057900
2019-05-10,126.290001,127.500000,123.470001,126.070000,122.502953,1508600
2019-05-13,123.599998,123.599998,119.769997,121.889999,118.441223,1761100
2019-05-14,122.199997,125.040001,122.080002,123.580002,120.083412,1504100
2019-05-15,122.370003,124.459999,121.550003,123.769997,120.268028,835200
2019-05-16,124.500000,126.239998,123.720001,125.720001,122.162857,722600
2019-05-17,124.339996,126.129997,124.160004,124.879997,121.346619,752900
2019-05-20,123.699997,123.980003,122.410004,123.110001,119.626709,763800
2019-05-21,124.050003,125.180000,124.000000,124.690002,121.162003,1033500
2019-05-22,123.910004,125.349998,123.769997,124.959999,121.424370,929500
2019-05-23,123.459999,124.440002,122.699997,124.419998,120.899643,1545700
2019-05-24,124.839996,125.970001,123.589996,123.680000,120.180573,718000
2019-05-28,124.110001,124.919998,122.879997,123.089996,119.607262,1179600
2019-05-29,122.269997,122.800003,120.970001,121.809998,118.363480,1015900
2019-05-30,122.459999,123.099998,121.830002,122.949997,119.471222,854100
2019-05-31,121.580002,122.199997,121.000000,121.760002,118.314903,1041500
2019-06-03,121.199997,121.949997,120.089996,120.699997,117.963058,1183800
2019-06-04,121.889999,121.889999,117.169998,121.510002,118.754700,2833800
2019-06-05,122.449997,122.449997,116.389999,118.470001,115.783630,2251100
2019-06-06,118.480003,118.849998,116.790001,118.639999,115.949768,2023900
2019-06-07,118.860001,123.000000,118.860001,120.970001,118.226936,1154600
2019-06-10,122.019997,124.330002,121.790001,123.440002,120.640930,965200
2019-06-11,124.480003,125.580002,122.440002,122.860001,120.074081,981700
2019-06-12,123.300003,124.680000,122.290001,124.269997,121.452103,1008400
2019-06-13,124.150002,124.150002,122.129997,122.470001,119.692924,1010000
2019-06-14,122.550003,124.250000,122.279999,124.129997,121.315285,801300
2019-06-17,124.099998,124.379997,122.019997,122.209999,119.438820,908700
2019-06-18,123.150002,124.449997,121.940002,122.629997,119.849297,873100
2019-06-19,123.250000,123.620003,121.720001,122.650002,119.868851,781400
2019-06-20,119.209999,121.419998,118.089996,118.739998,116.047501,3429800
2019-06-21,118.360001,118.739998,114.760002,114.839996,112.235931,2822900
2019-06-24,114.589996,117.519997,114.389999,117.099998,114.444695,2455100
2019-06-25,116.650002,117.410004,114.449997,116.040001,113.408737,1617900
2019-06-26,116.690002,117.190002,115.529999,116.550003,113.907173,1179500
2019-06-27,117.180000,119.519997,116.580002,119.199997,116.497078,1099400
2019-06-28,119.599998,121.339996,119.320000,121.209999,118.461494,2067000
2019-07-01,122.000000,122.900002,117.739998,118.070000,115.392693,2199900
2019-07-02,118.250000,119.089996,117.290001,119.040001,116.340706,1105600
2019-07-03,118.570000,118.690002,115.809998,116.540001,113.897392,1634600
2019-07-05,116.550003,116.720001,115.099998,115.400002,112.783241,2210100
2019-07-08,115.000000,115.320000,111.529999,111.889999,109.352837,2900300
2019-07-09,111.129997,112.290001,109.940002,111.220001,108.698029,3188700
2019-07-10,111.870003,112.269997,110.129997,110.379997,107.877075,2098700
2019-07-11,110.360001,110.769997,109.559998,110.400002,107.896622,2225900
2019-07-12,110.220001,110.910004,109.239998,110.139999,107.642517,3208100
2019-07-15,110.449997,113.290001,110.449997,112.849998,110.291061,3594300
2019-07-16,112.570000,115.059998,112.519997,114.550003,111.952522,2473100
2019-07-17,114.360001,114.820000,111.080002,111.760002,109.225777,1923400
2019-07-18,111.360001,111.910004,110.239998,111.000000,108.483009,1955600
2019-07-19,111.540001,112.830002,110.089996,110.150002,107.652290,1931600
2019-07-22,110.580002,111.910004,110.099998,111.629997,109.098732,3048800
2019-07-23,112.459999,114.059998,112.370003,113.730003,111.151108,2054800
2019-07-24,113.510002,115.599998,113.190002,115.339996,112.724594,3141300
2019-07-25,112.440002,115.949997,111.650002,113.040001,110.476761,3491500
2019-07-26,114.529999,115.339996,113.360001,113.959999,111.375893,2323000
2019-07-29,113.750000,116.000000,113.750000,115.589996,112.968925,1995700
2019-07-30,114.739998,115.989998,114.699997,115.989998,113.359863,1581300
